,Unnamed: 0,y,z,alpha,R,Time Step,flow-time,Eloss,Ekin,max-skewness,TVPG,ven-vol,flow-av,flow-mv,WSS,wss-1,wss-2,wss-3,wss-4,wss-5,wss-6,wss-7,wss-8,wss-9,wss-10,wss-11,wss-12,wss-13,wss-14,wss-15,wss-16,wss-17,mv-pressure-drop
33,33,-5.325,49.375,-4.375,4.0375,960.5,2.229157214999979,2.3247687423321665e-05,0.001114161930462,0.8692425367455991,113.87304858613784,1.1868151092627536e-05,-1.674804080314133e-05,1.4684073620448088e-05,3.7971948736682046,3.5402212261318837,10.94580176137218,11.53694675064357,3.0165261008538544,3.9913113467851695,4.366228685467569,1.960579803186988,2.491886833011914,3.2572255782991912,2.407610598953035,3.1444433951083584,3.01194680957764,3.925289163229622,6.435398831839465,4.79937788917782,4.550408696541523,4.3015088259976695,509.5173063659125
34,34,-5.275,51.925,-6.375,3.4125,960.5,2.229157214999979,4.465872668016372e-05,0.0016260264890936,0.8661646398818733,179.35720890662546,1.1929191077390252e-05,-1.6163877574505846e-05,1.4206386832154524e-05,5.516193964031492,3.750384967281444,11.678002370199554,12.790974019516367,2.836647780497871,6.354604763329961,6.564304614609876,2.49170497851461,3.737060563166492,4.164544923276482,2.6040000413756057,4.23223137889724,4.648300337825093,5.310341495937932,10.20402702884608,6.263294580773847,11.451968582993151,6.683735952725509,453.37836419262754
36,36,-5.175,49.675,-8.375,4.3875,960.5,2.229157214999979,2.0047859949379165e-05,0.0010179208468804,0.8744038725298349,73.43286691636794,1.1929682418848271e-05,-1.6992759868428985e-05,1.4904012231764714e-05,3.704273074425649,3.169562534121634,10.622983527790888,11.35393234594054,2.737867686388428,3.846946713645388,4.314090509486174,2.2292356911104627,2.684448877862237,3.2529771676963595,2.7171896995403038,3.2615942938056217,3.538887688851992,3.341194599765549,5.43543282619224,4.398701459516993,4.787841442459925,3.825433175789306,543.981680825141
37,37,-5.125,52.425,9.125,4.4125,960.5,2.229157214999979,1.813769551573337e-05,0.000850817928981,0.8618439288664885,106.11772702093069,1.2130636614238683e-05,-1.699357375729762e-05,1.4895440221287274e-05,2.959904040272547,2.0694973023939203,11.95191340447308,12.974203660521097,2.1564765969004944,2.631275487138125,2.588089598775964,1.5768501076679298,1.7073486073269553,1.99197681004186,1.794233137801835,1.9364069569331712,1.6891269867738756,4.2843155329143805,4.354067144271949,4.338740436512402,4.4229684314017685,3.4117249921048995,604.889460362033
38,38,-5.075,49.275,1.375,3.5875,960.5,2.229157214999979,2.902742304818408e-05,0.0012933014149845,0.8692314508548027,136.63509037402056,1.175994198283867e-05,-1.6437132395234823e-05,1.4412483929724423e-05,4.091684108094511,3.28410861031349,11.000300616030906,11.610355778663086,3.4575360336542,4.6186814719393,4.863699494182404,2.04971054196957,2.677644183999087,3.511391660760767,2.9340277182320427,2.645784387998987,2.492903152030362,4.954717258924916,7.299520608648456,5.625529362892814,4.464110411745134,4.848686495586183,451.4544866658719
40,40,-4.975,52.175,7.375,4.0875,960.5,2.229157214999979,2.0666945542738963e-05,0.0009792765127815,0.8668924065062004,114.20112431490767,1.2036780975281452e-05,-1.675137628016624e-05,1.4681881927577075e-05,3.2155752078131807,2.430744856456705,12.097657772637676,13.048189731331655,2.5225254725054187,3.3699582795718683,3.128000161384008,1.7389987001057623,1.666318260214179,2.006207804343528,1.983665448855845,1.7311128101300897,1.847496596735396,4.919128793474257,4.389287584174782,4.288762673985626,4.703790932448049,4.443065088082905,581.1394361076829
41,41,-4.925,49.975,-7.375,3.6875,960.5,2.229157214999979,3.1875048728513014e-05,0.0013382925303741,0.8980456246686287,140.3161245286752,1.1828324508607197e-05,-1.649998205282032e-05,1.4472561411473738e-05,4.607152624150934,3.64157523458705,10.8314759399824,11.990810415717984,3.0836213907248453,4.853986145955167,5.1779738805735525,2.30558323158039,3.05057442305808,4.030243412605421,2.559827462803684,3.68707760874892,4.166728272131011,4.716726601807625,7.942011958538766,5.440230333808546,7.82358433499528,5.329572089287688,479.2472025075366
42,42,-4.875,50.175,-3.625,3.5625,960.5,2.229157214999979,3.166238135220338e-05,0.0014062589875419,0.8662697464284554,155.81846061113023,1.1826536669440695e-05,-1.6407363403484182e-05,1.436061199142334e-05,4.419575683232262,3.805349009008536,11.79757477689022,12.298767734771577,3.1848399316872937,4.590222836883162,4.901063950316983,2.17285731920668,2.738802096660174,3.960702407690051,2.688508234557309,3.37500308537045,3.477489511941238,5.147200281183375,8.042180888595826,5.614550591425678,5.730264932860564,5.573987147105228,479.68519751590543
43,43,-4.825,52.325,-6.875,4.2875,960.5,2.229157214999979,2.3026982798166843e-05,0.0011044222835851,0.8623685483460364,87.32006866105908,1.2066115080270028e-05,-1.687755171375484e-05,1.482533316285521e-05,3.893693524581904,3.093984001081467,12.400937186996314,12.69275172101115,3.0007083495854303,4.644886783909134,4.562982170403313,2.038918161483454,2.5226808667340075,3.0781636908967225,2.370471715614685,3.405056710266133,3.456154789419615,3.63027359821147,6.054729725550497,4.406425405054732,5.29900419731977,3.3753518744905127,597.6409023273903
44,44,-4.775,50.625,-9.125,3.7375,960.5,2.229157214999979,3.129881323328729e-05,0.0013095933927867,0.8619051079902863,123.42458522886506,1.191143639821489e-05,-1.654746487722163e-05,1.448414209461852e-05,4.633439558343572,3.4879398343779635,11.924210194461333,12.95522805392753,3.237092782006582,4.926997288501032,5.34903474700509,2.265036765079711,2.745370591705396,4.104699873753424,2.474887636488932,3.990515115469488,4.709648555558067,4.724872642723822,7.969508724705197,5.1418171629495415,8.06287380154667,5.18116151037375,511.4839185988749
